"strain_name"	"type"
"CPT"	"High_ethonal"
"CQA"	"High_ethonal"
"CQG"	"High_ethonal"
"CQH"	"High_ethonal"
"CQP"	"High_ethonal"
"CRE"	"High_ethonal"
"SACE_GAL"	"High_ethonal"
"SACE_GAP"	"High_ethonal"
"SACE_GAT"	"High_ethonal"
"SACE_GAV"	"High_ethonal"
"SACE_MAL"	"High_ethonal"
"SACE_YAG"	"High_ethonal"
"SACE_YBJ"	"High_ethonal"
"SACE_YBS"	"High_ethonal"
"SACE_YCN"	"High_ethonal"
"AAA"	"High_xylose"
"AAI"	"High_xylose"
"ABE"	"High_xylose"
"ABH"	"High_xylose"
"ABI"	"High_xylose"
"ABK"	"High_xylose"
"ABM"	"High_xylose"
"ACC"	"High_xylose"
"ACD"	"High_xylose"
"ACM"	"High_xylose"
"ACQ"	"High_xylose"
"ADA"	"High_xylose"
"ADD"	"High_xylose"
"ADE"	"High_xylose"
"ADF"	"High_xylose"
"ADG"	"High_xylose"
"ADI"	"High_xylose"
"ADM"	"High_xylose"
"ADN"	"High_xylose"
"ADP"	"High_xylose"
"ADR"	"High_xylose"
"AEE"	"High_xylose"
"AEP"	"High_xylose"
"AFB"	"High_xylose"
"AFQ"	"High_xylose"
"AFR"	"High_xylose"
"AGF"	"High_xylose"
"AGG"	"High_xylose"
"AGM"	"High_xylose"
"AGS"	"High_xylose"
"AHC"	"High_xylose"
"AHD"	"High_xylose"
"AHL"	"High_xylose"
"AHM"	"High_xylose"
"AHQ"	"High_xylose"
"AIE"	"High_xylose"
"AKB"	"High_xylose"
"AKG"	"High_xylose"
"AKH"	"High_xylose"
"AKI"	"High_xylose"
"AKN"	"High_xylose"
"AKP"	"High_xylose"
"AKT"	"High_xylose"
"ALA"	"High_xylose"
"ALB"	"High_xylose"
"ALG"	"High_xylose"
"ALH"	"High_xylose"
"ALI"	"High_xylose"
"ALN"	"High_xylose"
"ALP"	"High_xylose"
"ALQ"	"High_xylose"
"ALR"	"High_xylose"
"ALS"	"High_xylose"
"ALT"	"High_xylose"
"AMC"	"High_xylose"
"AMD"	"High_xylose"
"AMH"	"High_xylose"
"AMM"	"High_xylose"
"ANA"	"High_xylose"
"ANC"	"High_xylose"
"ANE"	"High_xylose"
"ANF"	"High_xylose"
"ANG"	"High_xylose"
"ANH"	"High_xylose"
"ANN"	"High_xylose"
"ANP"	"High_xylose"
"APA"	"High_xylose"
"APG"	"High_xylose"
"APQ"	"High_xylose"
"AQA"	"High_xylose"
"AQG"	"High_xylose"
"AQH"	"High_xylose"
"AQN"	"High_xylose"
"ARV"	"High_xylose"
"ATD"	"High_xylose"
"AVI"	"High_xylose"
"AVQ"	"High_xylose"
"AVR"	"High_xylose"
"BAA"	"High_xylose"
"BAG"	"High_xylose"
"BAH"	"High_xylose"
"BAI"	"High_xylose"
"BAK"	"High_xylose"
"BAL"	"High_xylose"
"BAM"	"High_xylose"
"BAN"	"High_xylose"
"BAP"	"High_xylose"
"BBD"	"High_xylose"
"BBG"	"High_xylose"
"BBQ"	"High_xylose"
"BBR"	"High_xylose"
"BBS"	"High_xylose"
"BBT"	"High_xylose"
"BCG"	"High_xylose"
"BCK"	"High_xylose"
"BCM"	"High_xylose"
"BDE"	"High_xylose"
"BDT"	"High_xylose"
"BEB"	"High_xylose"
"BEQ"	"High_xylose"
"BER"	"High_xylose"
"BES"	"High_xylose"
"BET"	"High_xylose"
"BEV"	"High_xylose"
"BFA"	"High_xylose"
"BFB"	"High_xylose"
"BFD"	"High_xylose"
"BFE"	"High_xylose"
"BFH"	"High_xylose"
"BFK"	"High_xylose"
"BFL"	"High_xylose"
"BFP"	"High_xylose"
"BGI"	"High_xylose"
"BGP"	"High_xylose"
"BKF"	"High_xylose"
"BKH"	"High_xylose"
"BKQ"	"High_xylose"
"BLK"	"High_xylose"
"BLQ"	"High_xylose"
"BLR"	"High_xylose"
"BMA"	"High_xylose"
"BMC"	"High_xylose"
"BMD"	"High_xylose"
"BME"	"High_xylose"
"BMH"	"High_xylose"
"BMK"	"High_xylose"
"BML"	"High_xylose"
"BMR"	"High_xylose"
"BMV"	"High_xylose"
"BNB"	"High_xylose"
"BND"	"High_xylose"
"BPA"	"High_xylose"
"BPN"	"High_xylose"
"BQC"	"High_xylose"
"BVE"	"High_xylose"
"CBK"	"High_xylose"
"CCH"	"High_xylose"
"CCL"	"High_xylose"
"CCP"	"High_xylose"
"CCQ"	"High_xylose"
"CCR"	"High_xylose"
"CCS"	"High_xylose"
"CDC"	"High_xylose"
"CDD"	"High_xylose"
"CDG"	"High_xylose"
"CDH"	"High_xylose"
"CDL"	"High_xylose"
"CDQ"	"High_xylose"
"CDR"	"High_xylose"
"CEB"	"High_xylose"
"CEH"	"High_xylose"
"CEI"	"High_xylose"
"CEP"	"High_xylose"
"CFF"	"High_xylose"
"CFS"	"High_xylose"
"CGC"	"High_xylose"
"CGV"	"High_xylose"
"CHK"	"High_xylose"
"CHL"	"High_xylose"
"CHT"	"High_xylose"
"CIF"	"High_xylose"
"CLB"	"High_xylose"
"CLC"	"High_xylose"
"CLQ"	"High_xylose"
"CMH"	"High_xylose"
"CMK"	"High_xylose"
"CQC"	"High_xylose"
"CQD"	"High_xylose"
"CQE"	"High_xylose"
"CQF"	"High_xylose"
"CQG"	"High_xylose"
"CQH"	"High_xylose"
"CQK"	"High_xylose"
"CQL"	"High_xylose"
"CQM"	"High_xylose"
"CQN"	"High_xylose"
"CQP"	"High_xylose"
"CQS"	"High_xylose"
"CRE"	"High_xylose"
"SACE_GAL"	"High_xylose"
"SACE_GAP"	"High_xylose"
"SACE_GAT"	"High_xylose"
"SACE_GAV"	"High_xylose"
"SACE_MAA"	"High_xylose"
"SACE_MAL"	"High_xylose"
"SACE_YBS"	"High_xylose"
"SACE_YCM"	"High_xylose"
"SACE_YCN"	"High_xylose"
"SACE_YCO"	"High_xylose"
